low,high,distance,time,BLs
0.0,2.0,0.37412548065185547,19.796841683855746,0.08590109441477992
0.07,1.93,0.35177403688430786,19.796841683855746,0.0807690903661986
0.13,1.87,0.3307231068611145,19.796841683855746,0.07593569082257336
0.2,1.8,0.31023669242858887,19.796841683855746,0.07123190690140736
0.27,1.73,0.2946139872074127,19.796841683855746,0.0676448551083023
0.33,1.67,0.27829593420028687,19.796841683855746,0.06389814796184388
0.4,1.6,0.2630655765533447,19.796841683855746,0.06040118114760464
0.47,1.53,0.24663187563419342,19.796841683855746,0.056627920658154286
0.53,1.47,0.23056288063526154,19.796841683855746,0.05293839848460749
0.6,1.4,0.21251025795936584,19.796841683855746,0.04879342540708657
0.67,1.33,0.2036072313785553,19.796841683855746,0.04674924566941409
0.73,1.27,0.19083958864212036,19.796841683855746,0.04381773060060414
0.8,1.2,0.18006880581378937,19.796841683855746,0.04134470462267424
0.87,1.13,0.17204701900482178,19.796841683855746,0.03950286197444898
0.93,1.07,0.12795694172382355,19.796841683855746,0.029379558197675903
1.0,1.0,0.0635358989238739,19.796841683855746,0.014588162353118082
