low, high, distance, time, BL
0.00, 2.00, 0.37412548065185547, 19.796841683855746, 1.700570366599343
0.13, 2.13, 0.32474908232688904, 19.796841683855746, 1.4761321923949502
0.27, 2.27, 0.27902403473854065, 19.796841683855746, 1.2682910669933667
0.40, 2.40, 0.23798352479934692, 19.796841683855746, 1.081743294542486
0.53, 2.53, 0.2008528709411621, 19.796841683855746, 0.9129675951871005
0.67, 2.67, 0.1842048615217209, 19.796841683855746, 0.8372948250987313
0.80, 2.80, 0.1747138798236847, 19.796841683855746, 0.7941539991985668
0.93, 2.93, 0.17020051181316376, 19.796841683855746, 0.7736386900598352
1.07, 3.07, 0.15290936827659607, 19.796841683855746, 0.6950425830754366
1.20, 3.20, 0.1356225311756134, 19.796841683855746, 0.6164660507982428
1.33, 3.33, 0.1305476725101471, 19.796841683855746, 0.5933985114097595
1.47, 3.47, 0.11928927153348923, 19.796841683855746, 0.5422239615158602
1.60, 3.60, 0.1150074452161789, 19.796841683855746, 0.522761114618995
1.73, 3.73, 0.11042486876249313, 19.796841683855746, 0.5019312216476961
1.87, 3.87, 0.10017134249210358, 19.796841683855746, 0.45532428405501624
2.00, 4.00, 0.11015994846820831, 19.796841683855746, 0.500727038491856
