# genomes_0
x, mean, min, max
0, 0.2742352426295441, 0.19336020375414803, 0.3551102815049401
1, 0.2977543793296627, 0.23463185634702255, 0.36087690231230285
2, 0.3183422040867452, 0.25218031018766784, 0.3845040979858225
3, 0.32313637956876123, 0.2567100063662733, 0.3895627527712492
4, 0.33541464696980366, 0.2606778604044589, 0.41015143353514844
5, 0.3453321930977853, 0.26674197501477515, 0.42392241118079543
6, 0.3513778077311809, 0.27039901510564274, 0.432356600356719
7, 0.3539522519840926, 0.27368315652994424, 0.4342213474382409
8, 0.35929554386768625, 0.2775924909114606, 0.4409985968239119
9, 0.3614672128909399, 0.2796561682663925, 0.44327825751548733
10, 0.36258517009544783, 0.28144893939735094, 0.4437214007935447
11, 0.3668156123354289, 0.28588225959460395, 0.4477489650762539
12, 0.3714277855537093, 0.28881463231445237, 0.45404093879296625
13, 0.37783523057463864, 0.293323058125998, 0.46234740302327926
14, 0.3798400073509714, 0.29540112863691714, 0.46427888606502565
15, 0.3854321304227929, 0.3012665855334873, 0.4695976753120985
16, 0.38633108904728947, 0.3022402245200772, 0.47042195357450173
17, 0.3889071551403696, 0.30557824217011464, 0.4722360681106246
18, 0.38985113900489504, 0.3071707152211242, 0.47253156278866587
19, 0.3910805875720118, 0.30884126359115155, 0.47331991155287206
20, 0.39246025315865624, 0.3109839924658795, 0.473936513851433
21, 0.39299231793840983, 0.3118209928481848, 0.47416364302863484
22, 0.39626612368283476, 0.31408564569428465, 0.47844660167138486
23, 0.399505013894075, 0.3180166927111435, 0.4809933350770065
24, 0.4023025877415319, 0.3213734976893096, 0.48323167779375414
25, 0.40375510921516844, 0.323443562199201, 0.4840666562311359
26, 0.40691906218492774, 0.3216347333324867, 0.49220339103736876
27, 0.4071984574745095, 0.32202348316738305, 0.49237343178163595
28, 0.40843859732487164, 0.32461496045989446, 0.4922622341898488
29, 0.4086830646975336, 0.3251819699472341, 0.49218415944783317
30, 0.41691585966697403, 0.3324057014702897, 0.5014260178636584
31, 0.42760983787833945, 0.32792242656771853, 0.5272972491889604
32, 0.42836842165242917, 0.32925134408764833, 0.52748549921721
33, 0.42846476557528246, 0.3293408970816779, 0.527588634068887
